ID,Title,Description,Topic,Type,Link,Formats,Permissions,Organisation,Contact
1594,Nationale Dateninfrastruktur Elektromobilität (DIEMO),"Rund 35% des Energieverbrauchs der Schweiz entfallen auf die Mobilität. Der Mobilitätsbereich ist aktuell zu über 95% von fossilen Energieträgern abhängig. Grundsätzlich strebt der Bundesrat im Bereich des motorisierten Individualverkehrs eine generelle und technologieneutrale Energieeffizienzsteigerung an, die jedoch in das übergeordnete Ziel einer nachhaltigeren Mobilität eingebettet sein muss. Die Elektromobilität bietet die Chance, einen Beitrag zu einer nachhaltigeren Mobilität zu leisten. Mit der Elektromobilität ist eine Schlüsseltechnologie zur Erreichung ambitionierter energie- und klimapolitischer Ziele vorhanden. Elektroantriebe sind effizient und der Einsatz von Strom erlaubt die Nutzung erneuerbarer Energien.Die nationale Daten-Infrastruktur Elektromobilität (DIEMO) bezweckt, dass Daten zur Ladeinfrastruktur der Schweiz im Sinne von Open Data einheitlich, in hoher Qualität und kostenlos zur Verfügung stehen. Dazu harmonisiert und aggregiert DIEMO Daten verschiedener Betreibenden von Ladeinfrastruktur und stellt ein Gesamtbild der Ladestellen zur Verfügung.",Mobilität,Dataset,https://data.geo.admin.ch/ch.bfe.ladestellen-elektromobilitaet/data/ch.bfe.ladestellen-elektromobilitaet.json,,,BFE,
1532,Sonnendach,Wie viel Strom oder Wärme kann mein Dach produzieren?,Sonnenenergie,Dataset,https://www.uvek-gis.admin.ch/BFE/sonnendach/,,,BFE,Roland Schäfer
1533,Windatlas,,"Klimadaten,Wind Energie",Dataset,https://www.uvek-gis.admin.ch/BFE/storymaps/EE_Windatlas/?lang=de,,,BFE,Roland Schäfer
1530,Bern OGD,Geodaten Immobilien,"Geodaten,Immobilien,Bern",Dataset,https://www.bern.ch/open-government-data-ogd/ogd-nach-themen,,,Bern,Matthias Eifert
1531,Statistik Bevölkerung,"Statistik Bevölkerung (Haushalte, demographische Merkmale, Prognosen....) Volkswirtschaft (Volkseinkommen, GDP/BIP) Energie (Gas-&Wasserversorgung, KVA, FErnwärme, Elektrizitätswerk) Mobilität (Verkehrszählungen, Motorfahrzeuge, öV, Strassennetz)","Catalog,Bern",Dataset,https://www.bern.ch/open-government-data-ogd/ogd-nach-themen,"XLS,PDF",,Bern,Matthias Eifert
1526,catalog Berlin,Home/Uebersicht,"Catalog,Deutschland",Dataset,https://daten.berlin.de/datensaetze,,,Berlin,Matthias Eifert Oleg Lavrovski
1529,Daten.Berlin.de,"Verkehr Verkehr und Personenaufkommen (Parkplatzbelegung, Bewegungsdaten) eMobility Ladestationen öV Linien öV Fahrplan Smart City Berlin Ernst Reuter Platz","Catalog,Deutschland",Dataset,https://daten.berlin.de/kategorie/verkehr  http://flow.dai-labor.de/datasets/,"API,GTFS",,Berlin,Matthias Eifert Oleg Lavrovski
1527,Energieatlas Berlin,Energieatlas Berlin,"Catalog,Deutschland",Dataset,https://daten.berlin.de/datensaetze/energieatlas-berlin,,,Berlin,
1528,Geoportal Berlin,Geographie und Stadtplanung Gemarkungen Katasterinformationen Gewässer und Vegetationsflächen/Linien INSPIRE Datenmodell,"Catalog,Deutschland",Dataset,https://daten.berlin.de/kategorie/geographie-und-stadtplanung,,,Berlin,Matthias Eifert Oleg Lavrovski
1525,Versorgung Berlin,"Ver- und Entsorgung (2008 bis 2018) Netzverluste Stromausfälle Standardlastprofile (Gewerbe, ...) Einspeisung dezentrale Anlagen Einspeisung benachbarte Netze gleiche NEtzebene Entnahmen der Letztverbraucher (Differenzbilanzierung) Jahreshöchstlast, Lastverlauf Netzeinspeisung BHKW, WKK Testdaten Stromausfall Energyhack Tagesparameterabhängiges Lastprofil Wärmepumpen Summe EInspeisung Hochspannung Summe Einspeisung Niederspannung Preisblatt Netznutzung Fahrplanprognosen Standardlastkunden Web Service Last und Erzeugung 15min ....","Catalog,Deutschland",Dataset,https://daten.berlin.de/kategorie/ver-und-entsorgung,,,Berlin,Matthias Eifert Oleg Lavrovski
1523,Daten von Hot or Not,"Datensätze von Haushalten aus der Schweiz zu 37 Eigenschaften (z.B. Einstellung, Haushaltsgrösse, Solaranlage); anonymisiert - keine Adresse  -- Insgesamt ca. 5'500 Datensätze",Haushalte,Dataset,http://make.opendata.ch/wiki/_media/project:hotornot:ben_hackathon_portal_household_and_activity_data.xlsx,,,BENEnergy,
1521,Kanton Basel Stadt,"Raum & Umwelt (Eigenproduktion Strom, Energieeffizienz, Energiepreise CH, ....) Bevölkerung Energie (Stromverbrauch nach EnergieTräger, spez.Heizenergieverbr., neue erneuerbare Energien, Stromverbrauch pro Einwohner) Mobilität & Verkehr (Verkehrsleistungsindex, Motorfahrzeuge, Verkehrszähldaten,","Energiekennzahlen,Mobilität,Bevölkerung,Erneuerbare Energien",Dataset,https://opendata.swiss/de/organization/kanton-basel-stadt,,,Basel,Matthias Eifert
1522,Staatskanzlei Basel,"Anwendungen (Datenvisualisierungen > Stadtplan, Pegel, Statistikkarten, Quartierindex, MapBS, Dräggwägg,...)) Datenkatalog (Link auf opendata.swiss > see above)",Geodaten,Dataset,http://www.staatskanzlei.bs.ch/oeffentlichkeitsprinzip/ogd.html,,,Basel,Matthias Eifert
1519,Netzkennzahlen,"Erzeugung, Erzeugung in Regelzone, Grenzüberschreitende Lastflüsse, Lastverlauf, PV-Einspeisung, Windenergieeinspeisung, vertikale Netzlast",Netzkennzahlen,Dataset,https://www.amprion.net/Netzkennzahlen/,,,Amprion,Matthias Eifert
1518,Agrometeo,historical weather data 10min intervals,Wetter,Dataset,http://www.agrometeo.ch/de/meteorology/datas,,,Agroscope,
1514,AEW Leitungskataster FErnwärme,AEW Leitungskataster FErnwärme,"Fernwärme,Kadaster & Netze",Dataset,https://ag-geo.ch/#/,,,AEW,
1516,AEW Leitungskataster Lichtwellenleiter,AEW Leitungskataster Lichtwellenleiter,"Lichtwellenleiter,Kadaster & Netze",Dataset,https://ag-geo.ch/#/,,,AEW,
1515,AEW Leitungskataster Strom,AEW Leitungskataster Strom,"Strom,Kadaster & Netze",Dataset,https://ag-geo.ch/#/,,,AEW,
1513,50Hertz,50Hertz betreibt das Stromübertragungsnetz im Norden und Osten Deutschlands,"Catalog,Deutschland",Dataset,https://www.50hertz.com/de/Transparenz/Kennzahlen,CSV,,50Hertz,Matthias Eifert
1655,swissBUILDINGS3D 2.0,swissBUILDINGS3D 2.0 is a vector based dataset which describes buildings as 3D models with roof geometries and roof overhangs. ,"Gebäude,Karten",Dataset,https://www.swisstopo.admin.ch/de/geodata/landscape/buildings3d2.html,"Geodata,Various",Open,©swisstopo,
1652,BDEW Bundesverband der Energie- und Wasserwirtschaft e.V.,"Der BDEW erhebt, analysiert und bereitet die Markt- und Basisdaten der Branche auf. Damit machen wir Branchenentwicklungen transparent und liefern relevante Zahlen als Unterstützung für die fachliche Arbeit.","Catalog,Deutschland","Dataset,Visualization",https://www.bdew.de/service/daten-und-grafiken/,,,,
1639,Beratungsbericht Gebäudemodernisierung,Anwenderhandbuch GEAK online Tool (GEAK User Manual 4.0.2),"Haushalte,Gebäude",Dataset,https://docplayer.org/25877609-Anwenderhandbuch-zum-geak-online-tool.html,,,,
1637,BitinfoCharts,Miners revenue timeseries,Blockchain,Dataset,https://bitinfocharts.com,,,,
1647,Energieverbrauch der Verkehrsträger im Vergleich,,"Verkehr,Verbrauch",Dataset,https://www.energiestiftung.ch/energieeffizienz-verkehrstraegervergleich.html,,,,
1646,Faktenblatt Strombverbrauch Elektrogeräte,,Elektrogeräte,Dataset,https://www.newsd.admin.ch/newsd/message/attachments/46117.pdf,,,,
1640,Lemnet Ladestationspunkte,,Mobilität,Dataset,https://www.lemnet.org/de/downloads,,,,
1642,List of iPhones,  - Battery capacities of different smartphone models,Geräte,Dataset,- https://www.theiphonewiki.com/wiki/List_of_iPhones,,,,
1641,Public datasets for NIALM,"Public data sets on household energy consumption data into individual appliances, also known as Non-intrusive Appliance Load Monitoring (NIALM) or energy disaggregation  Almanac of Minutely Power Dataset Berkeley Energy Disaggregation Dat Set Controlled On/Off Loads library dataset Dataport database Dutch Rersidential Energy Dataset Electricity Consumption & Occupancy data set GREEND Dataset Household Electricity Use Study EDF Individual household electric power consumption data set Smart Home Data Set REFIT Electrical Load Measurements dataset UK Domestic Appliance Level Electricity dataset","Catalog,Haushalte",Dataset,http://blog.oliverparson.co.uk/2012/06/public-data-sets-for-nialm.html,,,,
1548,Smart Meter Data Sets, Listing of datasets and code samples related to Smart Meter ,Smart Meter,Dataset,https://github.com/smda/smart-meter-data-catalog,,,,
1644,Stromverbrauch Haushaltsgeräten,,"Haushalte,Deutschland,Elektrogeräte",Dataset,https://www.stromspiegel.de/stromspar-tipps/strom-sparende-haushaltsgeraete/,,,,
1643,Stromverbrauch im Haushalt,,"Haushalte,Deutschland,Verbrauch",Dataset,https://www.stromverbrauch-haushalt.de/haushaltgeraete-stromverbrauch.html,,,,
1649,Stromverbrauch im Haushalt,,"Verbrauch,Deutschland,Haushalte",Dataset,https://www.stromverbrauch-haushalt.de/haushaltgeraete-stromverbrauch.html,,,,
1648,Transaction per block timeseries,Average Price of Electricity to Ultimate Customers by End-Use Sector,"Verbrauch,Anlagen",Dataset,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,,,,
1653,"Walch, Alina, Roberto Castello, Nahid Mohajeri, and Jean-Louis Scartezzini. “Big Data Mining for the Estimation of Hourly Rooftop Photovoltaic Potential and Its Uncertainty.” Applied Energy 262 (March 15, 2020): 114404.",Rooftop photovoltaic (PV) potential data for the Swiss building stock,"Gebäude,Klimadaten,Potenzial,Strom,Erneuerbare Energien,Geodaten,Sonnenenergie,Stromproduktion,Schweiz",Dataset,https://zenodo.org/record/3609833#.YPB2ch1CRE4,"JSON,Geodata,CSL,BibTex,DataCite,Dublin Core,DCAT,JSON-LD,Geo-JSON,MARCXML",,,
